raw_motor_0,raw_motor_1,raw_motor_2,raw_motor_3,motor_0,motor_1,motor_2,motor_3,x_expected,y_expected,z_expected,x_img,y_img,x_screen,y_screen
0.72722054,1.654161,-1.863183,0.3835549,122.0,85.0,157.0,72.0,0.11014325,0.098019175,0.08,242.5,290.5,-0.2421875,-0.2104166666666667
0.72722054,1.8642542,-2.0410006,0.35127935,122.0,97.0,167.0,71.0,0.09532792,0.08483465,0.08,267.0,310.0,-0.16562500000000002,-0.29166666666666674
0.72722054,1.5624313,-1.7742883,0.3863899,122.0,80.0,152.0,73.0,0.116933614,0.10406208,0.08,233.5,283.25,-0.27031249999999996,-0.1802083333333333
0.72722054,1.5624313,-1.7742883,0.3863899,122.0,80.0,152.0,73.0,0.116933614,0.10406208,0.08,234.0,283.5,-0.26875000000000004,-0.1812499999999999
0.72722054,1.8642542,-2.0410006,0.35127935,122.0,97.0,167.0,71.0,0.09532792,0.08483465,0.08,267.0,310.0,-0.16562500000000002,-0.29166666666666674
0.72722054,1.654161,-1.863183,0.3835549,122.0,85.0,157.0,72.0,0.11014325,0.098019175,0.08,244.25,291.75,-0.23671874999999998,-0.21562499999999996
0.72722054,1.36696,-1.5617987,0.36937147,122.0,69.0,140.0,72.0,0.13174894,0.117246605,0.08,206.75,262.5,-0.35390625,-0.09375
0.72722054,1.654161,-1.863183,0.3835549,122.0,85.0,157.0,72.0,0.11014325,0.098019175,0.08,242.75,290.5,-0.24140625000000004,-0.2104166666666667
1.0181087,1.6541611,-1.8631831,0.3835549,139.0,85.0,157.0,72.0,0.07740386,0.12549077,0.08,217.25,335.0,-0.32109374999999996,-0.39583333333333326
1.0181087,1.3669602,-1.5617987,0.36937147,139.0,69.0,140.0,72.0,0.0925874,0.15010704,0.08,174.25,318.75,-0.45546875,-0.328125
1.0181087,1.6541611,-1.8631831,0.3835549,139.0,85.0,157.0,72.0,0.07740386,0.12549077,0.08,217.5,334.0,-0.3203125,-0.3916666666666666
1.0181087,1.8642544,-2.0410006,0.35127932,139.0,97.0,167.0,71.0,0.06699229,0.108611055,0.08,245.75,346.75,-0.23203125000000002,-0.4447916666666667
1.0181087,1.5624315,-1.7742884,0.3863899,139.0,80.0,152.0,73.0,0.08217583,0.13322732,0.08,205.5,332.25,-0.3578125,-0.3843749999999999
1.0181087,1.5624315,-1.7742884,0.3863899,139.0,80.0,152.0,73.0,0.08217583,0.13322732,0.08,205.5,332.25,-0.3578125,-0.3843749999999999
1.0181087,1.8642544,-2.0410006,0.35127932,139.0,97.0,167.0,71.0,0.06699229,0.108611055,0.08,245.75,346.75,-0.23203125000000002,-0.4447916666666667
1.0181087,1.6541611,-1.8631831,0.3835549,139.0,85.0,157.0,72.0,0.07740386,0.12549077,0.08,218.25,336.25,-0.31796875,-0.40104166666666674
1.0181087,1.3669602,-1.5617987,0.36937147,139.0,69.0,140.0,72.0,0.0925874,0.15010704,0.08,173.25,321.0,-0.45859375,-0.3374999999999999
1.0181087,1.6541611,-1.8631831,0.3835549,139.0,85.0,157.0,72.0,0.07740386,0.12549077,0.08,216.5,336.25,-0.32343750000000004,-0.40104166666666674
1.3089969,1.654161,-1.8631829,0.3835549,155.0,85.0,157.0,72.0,0.038160935,0.14241853,0.08,206.0,393.0,-0.35624999999999996,-0.6375
1.3089969,1.36696,-1.5617987,0.36937147,155.0,69.0,140.0,72.0,0.045646578,0.17035533,0.08,159.0,393.0,-0.503125,-0.6375
1.3089969,1.654161,-1.8631829,0.3835549,155.0,85.0,157.0,72.0,0.038160935,0.14241853,0.08,206.0,391.75,-0.35624999999999996,-0.6322916666666667
1.3089969,1.8642542,-2.0410006,0.35127935,155.0,97.0,167.0,71.0,0.03302792,0.12326186,0.08,237.25,391.25,-0.25859374999999996,-0.6302083333333333
1.3089969,1.5624313,-1.7742883,0.3863899,155.0,80.0,152.0,73.0,0.040513564,0.15119867,0.08,195.0,390.0,-0.390625,-0.625
1.3089969,1.5624313,-1.7742883,0.3863899,155.0,80.0,152.0,73.0,0.040513564,0.15119867,0.08,195.0,390.0,-0.390625,-0.625
1.3089969,1.8642542,-2.0410006,0.35127935,155.0,97.0,167.0,71.0,0.03302792,0.12326186,0.08,237.25,391.0,-0.25859374999999996,-0.6291666666666667
1.3089969,1.654161,-1.8631829,0.3835549,155.0,85.0,157.0,72.0,0.038160935,0.14241853,0.08,208.0,390.0,-0.35,-0.625
1.3089969,1.36696,-1.5617987,0.36937147,155.0,69.0,140.0,72.0,0.045646578,0.17035533,0.08,158.75,390.75,-0.50390625,-0.628125
1.3089969,1.654161,-1.8631829,0.3835549,155.0,85.0,157.0,72.0,0.038160935,0.14241853,0.08,205.75,390.5,-0.35703125,-0.6270833333333334
