raw_motor_0,raw_motor_1,raw_motor_2,raw_motor_3,motor_0,motor_1,motor_2,motor_3,x_expected,y_expected,z_expected,x_img,y_img,x_screen,y_screen
-0.8726647,1.1848735,-1.3364438,0.3261032,30.0,58.0,127.0,69.0,0.12514307,-0.14913972,0.08,561.5,246.75,0.7546875,-0.028124999999999956
-0.8726647,1.4343998,-1.6386305,0.37876365,30.0,73.0,144.0,72.0,0.108945176,-0.12983581,0.08,528.75,271.25,0.65234375,-0.13020833333333326
-0.87266463,1.7374932,-1.9379582,0.37499797,31.0,90.0,162.0,72.0,0.08959975,-0.10678083,0.08,484.75,299.25,0.51484375,-0.24687499999999996
-0.87266463,1.6541611,-1.863183,0.3835549,31.0,85.0,157.0,72.0,0.09477422,-0.112947516,0.08,495.5,290.75,0.5484374999999999,-0.2114583333333333
-0.87266463,1.4034688,-1.6038476,0.3749117,31.0,71.0,142.0,72.0,0.110972114,-0.13225141,0.08,529.0,266.75,0.653125,-0.11145833333333344
-0.87266463,1.4034688,-1.6038476,0.3749117,31.0,71.0,142.0,72.0,0.110972114,-0.13225141,0.08,529.0,266.75,0.653125,-0.11145833333333344
-0.87266463,1.6541611,-1.863183,0.3835549,31.0,85.0,157.0,72.0,0.09477422,-0.112947516,0.08,497.75,290.25,0.55546875,-0.2093750000000001
-0.87266463,1.9192445,-2.0817986,0.33708704,31.0,100.0,170.0,70.0,0.078863375,-0.093985714,0.08,466.25,312.5,0.45703125,-0.30208333333333326
-0.87266463,1.9192445,-2.0817986,0.33708704,31.0,100.0,170.0,70.0,0.078863375,-0.093985714,0.08,466.25,312.5,0.45703125,-0.30208333333333326
-0.6544985,1.9192445,-2.0817986,0.33708704,43.0,100.0,170.0,70.0,0.097336225,-0.07468872,0.08,444.0,290.25,0.38749999999999996,-0.2093750000000001
-0.6544985,1.9192445,-2.0817986,0.33708704,43.0,100.0,170.0,70.0,0.097336225,-0.07468872,0.08,444.0,290.25,0.38749999999999996,-0.2093750000000001
-0.6544985,1.6541611,-1.863183,0.3835549,43.0,85.0,157.0,72.0,0.116974,-0.089757316,0.08,467.0,261.75,0.4593750000000001,-0.09062499999999996
-0.65449846,1.4034688,-1.6038476,0.3749117,43.0,71.0,142.0,72.0,0.13696608,-0.10509777,0.08,493.5,231.0,0.5421875,0.03750000000000009
-0.65449846,1.4034688,-1.6038476,0.3749117,43.0,71.0,142.0,72.0,0.13696608,-0.10509777,0.08,493.5,231.0,0.5421875,0.03750000000000009
-0.6544985,1.6541611,-1.863183,0.3835549,43.0,85.0,157.0,72.0,0.116974,-0.089757316,0.08,469.25,261.0,0.4664062499999999,-0.08749999999999991
-0.65449846,1.7374932,-1.9379582,0.37499797,43.0,90.0,162.0,72.0,0.11058748,-0.084856756,0.08,458.75,272.75,0.43359375,-0.13645833333333335
-0.65449846,1.4343998,-1.6386306,0.37876368,43.0,73.0,144.0,72.0,0.13446435,-0.10317813,0.08,490.5,234.75,0.5328124999999999,0.02187500000000009
-0.65449846,1.1848735,-1.3364438,0.3261032,43.0,58.0,127.0,69.0,0.15445642,-0.11851858,0.08,517.0,202.25,0.6156250000000001,0.1572916666666666
-0.65449846,1.1848735,-1.3364438,0.3261032,43.0,58.0,127.0,69.0,0.15445642,-0.11851858,0.08,517.0,202.25,0.6156250000000001,0.1572916666666666
-0.65449846,1.1848733,-1.3364435,0.32610315,43.0,58.0,127.0,69.0,0.15445644,-0.11851859,0.08,517.0,202.25,0.6156250000000001,0.1572916666666666
-0.65449846,1.1848733,-1.3364435,0.32610315,43.0,58.0,127.0,69.0,0.15445644,-0.11851859,0.08,517.0,202.25,0.6156250000000001,0.1572916666666666
-0.6544985,1.4343998,-1.6386305,0.37876365,43.0,73.0,144.0,72.0,0.13446435,-0.103178136,0.08,492.0,234.5,0.5375000000000001,0.022916666666666696
-0.65449846,1.737493,-1.9379581,0.37499797,43.0,90.0,162.0,72.0,0.110587485,-0.08485676,0.08,458.25,272.5,0.4320312500000001,-0.13541666666666674
-0.65449846,1.737493,-1.9379581,0.37499797,43.0,90.0,162.0,72.0,0.110587485,-0.08485676,0.08,458.5,272.75,0.43281250000000004,-0.13645833333333335
-0.6544985,1.4343998,-1.6386305,0.37876365,43.0,73.0,144.0,72.0,0.13446435,-0.103178136,0.08,490.25,234.75,0.53203125,0.02187500000000009
-0.65449846,1.1848733,-1.3364435,0.32610315,43.0,58.0,127.0,69.0,0.15445644,-0.11851859,0.08,517.0,202.25,0.6156250000000001,0.1572916666666666
-0.65449846,1.1848733,-1.3364435,0.32610315,43.0,58.0,127.0,69.0,0.15445644,-0.11851859,0.08,517.0,202.25,0.6156250000000001,0.1572916666666666
-0.65449846,1.1848735,-1.3364438,0.3261032,43.0,58.0,127.0,69.0,0.15445642,-0.11851858,0.08,517.0,202.25,0.6156250000000001,0.1572916666666666
-0.65449846,1.1848735,-1.3364438,0.3261032,43.0,58.0,127.0,69.0,0.15445642,-0.11851858,0.08,517.0,202.25,0.6156250000000001,0.1572916666666666
-0.65449846,1.4343998,-1.6386306,0.37876368,43.0,73.0,144.0,72.0,0.13446435,-0.10317813,0.08,492.5,234.0,0.5390625,0.02499999999999991
-0.65449846,1.7374932,-1.9379582,0.37499797,43.0,90.0,162.0,72.0,0.11058748,-0.084856756,0.08,458.75,272.75,0.43359375,-0.13645833333333335
-0.6544985,1.6541611,-1.863183,0.3835549,43.0,85.0,157.0,72.0,0.116974,-0.089757316,0.08,466.75,262.0,0.4585937499999999,-0.09166666666666656
-0.65449846,1.4034688,-1.6038476,0.3749117,43.0,71.0,142.0,72.0,0.13696608,-0.10509777,0.08,493.5,230.75,0.5421875,0.038541666666666696
-0.65449846,1.4034688,-1.6038476,0.3749117,43.0,71.0,142.0,72.0,0.13696608,-0.10509777,0.08,493.5,230.75,0.5421875,0.038541666666666696
-0.6544985,1.6541611,-1.863183,0.3835549,43.0,85.0,157.0,72.0,0.116974,-0.089757316,0.08,469.0,261.0,0.46562499999999996,-0.08749999999999991
-0.6544985,1.9192445,-2.0817986,0.33708704,43.0,100.0,170.0,70.0,0.097336225,-0.07468872,0.08,444.5,290.5,0.3890625000000001,-0.2104166666666667
-0.6544985,1.9192445,-2.0817986,0.33708704,43.0,100.0,170.0,70.0,0.097336225,-0.07468872,0.08,444.25,290.75,0.3882812499999999,-0.2114583333333333
-0.43633235,1.9192445,-2.0817986,0.33708704,55.0,100.0,170.0,70.0,0.111194566,-0.05185088,0.08,418.0,274.25,0.3062499999999999,-0.14270833333333344
-0.43633235,1.9192445,-2.0817986,0.33708704,55.0,100.0,170.0,70.0,0.111194566,-0.05185088,0.08,417.75,274.25,0.30546874999999996,-0.14270833333333344
-0.43633232,1.654161,-1.863183,0.3835549,55.0,85.0,157.0,72.0,0.1336283,-0.0623119,0.08,432.75,240.75,0.35234374999999996,-0.0031250000000000444
-0.43633235,1.4034688,-1.6038476,0.3749117,55.0,71.0,142.0,72.0,0.15646675,-0.07296165,0.08,450.25,204.75,0.40703124999999996,0.1468750000000001
-0.43633235,1.4034688,-1.6038476,0.3749117,55.0,71.0,142.0,72.0,0.15646675,-0.07296165,0.08,450.25,205.0,0.40703124999999996,0.14583333333333348
-0.43633232,1.654161,-1.863183,0.3835549,55.0,85.0,157.0,72.0,0.1336283,-0.0623119,0.08,434.25,239.75,0.3570312499999999,0.0010416666666666075
-0.43633232,1.7374932,-1.9379582,0.37499797,55.0,90.0,162.0,72.0,0.12633248,-0.058909804,0.08,427.5,253.5,0.3359375,-0.05624999999999991
-0.43633235,1.4343998,-1.6386306,0.37876368,55.0,73.0,144.0,72.0,0.15360884,-0.07162899,0.08,448.25,209.75,0.4007812500000001,0.1260416666666666
-0.43633235,1.1848735,-1.3364438,0.3261032,55.0,58.0,127.0,69.0,0.1764473,-0.082278736,0.08,466.0,172.0,0.45625000000000004,0.2833333333333332
-0.43633235,1.1848735,-1.3364438,0.3261032,55.0,58.0,127.0,69.0,0.1764473,-0.082278736,0.08,465.75,172.0,0.4554687500000001,0.2833333333333332
-0.43633232,1.1848733,-1.3364437,0.32610318,55.0,58.0,127.0,69.0,0.17644732,-0.082278736,0.08,466.0,172.0,0.45625000000000004,0.2833333333333332
-0.43633232,1.1848733,-1.3364437,0.32610318,55.0,58.0,127.0,69.0,0.17644732,-0.082278736,0.08,466.0,172.0,0.45625000000000004,0.2833333333333332
-0.43633232,1.4343997,-1.6386305,0.37876365,55.0,73.0,144.0,72.0,0.15360886,-0.07162899,0.08,449.5,208.0,0.4046875000000001,0.1333333333333333
-0.43633235,1.7374932,-1.9379582,0.37499797,55.0,90.0,162.0,72.0,0.12633248,-0.058909807,0.08,427.25,253.0,0.33515625000000004,-0.054166666666666696
-0.43633235,1.7374932,-1.9379582,0.37499797,55.0,90.0,162.0,72.0,0.12633248,-0.058909807,0.08,427.25,253.5,0.33515625000000004,-0.05624999999999991
-0.43633232,1.4343997,-1.6386305,0.37876365,55.0,73.0,144.0,72.0,0.15360886,-0.07162899,0.08,448.0,209.75,0.3999999999999999,0.1260416666666666
-0.43633232,1.1848733,-1.3364437,0.32610318,55.0,58.0,127.0,69.0,0.17644732,-0.082278736,0.08,465.5,171.25,0.4546874999999999,0.2864583333333335
