motor_control,world_x,world_y,world_z,world_p,world_q,world_r,x_img,y_img,x_screen,y_screen
"0:90.0,1:120.0,2:10.0,3:170.0,4:10.0,5:10.0",0.09851627812863196,0.0009700508051875487,0.07447656661677861,-0.0002951341817107433,-0.5230702798226862,-0.0005908092102341556,319,372,-0.0031250000000000444,-0.55
"0:90.0,1:120.0,2:30.0,3:60.0,4:10.0,5:10.0",0.13610798355096076,0.000950810924114736,0.059530606278215235,0.000889919476022337,1.0488706448319964,-0.0010266001897929304,319,341,-0.0031250000000000444,-0.4208333333333334
"0:90.0,1:120.0,2:30.0,3:90.0,4:10.0,5:10.0",0.14180981622547195,0.0009478926584655829,0.07654074181158313,0.0002966481261336022,0.52528729882658,-0.000591566943138872,319,339,-0.0031250000000000444,-0.4125000000000001
"0:90.0,1:120.0,2:30.0,3:120.0,4:10.0,5:10.0",0.13824295267156128,0.0009497182215716164,0.09412291741311635,8.721492679383946e-07,0.0017040410234315643,-0.0005118125690807368,318,345,-0.006249999999999978,-0.4375
"0:90.0,1:120.0,2:30.0,3:150.0,4:10.0,5:10.0",0.12636307916968767,0.000955798481850699,0.10756627957610188,-0.0002943224340977476,-0.5218792167680174,-0.0005904041267962882,318,356,-0.006249999999999978,-0.4833333333333334
"0:90.0,1:120.0,2:30.0,3:170.0,4:10.0,5:10.0",0.1153333747322515,0.0009614436155112351,0.11237098403021023,-0.0006076043335127684,-0.870763755053811,-0.0007944396385028362,318,366,-0.006249999999999978,-0.5249999999999999
"0:90.0,1:120.0,2:60.0,3:10.0,4:10.0,5:10.0",0.14467620030506403,0.0009464256090637689,0.11333143155299555,0.0029077389687539603,1.396563683653625,-0.0029524390792593667,318,343,-0.006249999999999978,-0.4291666666666667
"0:90.0,1:120.0,2:60.0,3:30.0,4:10.0,5:10.0",0.15292836451231803,0.0009422020534625916,0.1220299804610654,0.0008899194760217578,1.0488706448319958,-0.0010266001897925952,318,337,-0.006249999999999978,-0.40416666666666656
"0:90.0,1:120.0,2:60.0,3:60.0,4:10.0,5:10.0",0.15863055597253448,0.0009392836041825052,0.13904593727343503,0.000296533077855718,0.525119021753117,-0.00059150925922131,319,335,-0.0031250000000000444,-0.39583333333333326
"0:90.0,1:120.0,2:60.0,3:90.0,4:10.0,5:10.0",0.15506073125261785,0.0009411106828485926,0.15662751750272036,7.859387263098614e-07,0.0015355996094804395,-0.0005118124294350659,318,340,-0.006249999999999978,-0.41666666666666674
